2023-03-12T10:12:09.590+01:00 r= ip=  INFO 11376 --- [main] .a.i.SepmIndividualAssignmentApplication : Starting SepmIndividualAssignmentApplication using Java 17 with PID 11376 (C:\Users\35988\Desktop\SEPM\template-java\backend\target\classes started by 35988 in C:\Users\35988\Desktop\SEPM\template-java\backend)
2023-03-12T10:12:09.602+01:00 r= ip=  INFO 11376 --- [main] .a.i.SepmIndividualAssignmentApplication : No active profile set, falling back to 1 default profile: "default"
2023-03-12T10:12:11.141+01:00 r= ip=  INFO 11376 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2023-03-12T10:12:11.155+01:00 r= ip=  INFO 11376 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-03-12T10:12:11.156+01:00 r= ip=  INFO 11376 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.5]
2023-03-12T10:12:11.262+01:00 r= ip=  INFO 11376 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-03-12T10:12:11.263+01:00 r= ip=  INFO 11376 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1584 ms
2023-03-12T10:12:11.290+01:00 r= ip=  INFO 11376 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-03-12T10:12:11.654+01:00 r= ip=  INFO 11376 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection conn1: url=jdbc:h2:./wendydb user=SA
2023-03-12T10:12:11.657+01:00 r= ip=  INFO 11376 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-03-12T10:12:11.671+01:00 r= ip=  INFO 11376 --- [main] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:./wendydb'
2023-03-12T10:12:12.130+01:00 r= ip=  INFO 11376 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2023-03-12T10:12:12.140+01:00 r= ip=  INFO 11376 --- [main] .a.i.SepmIndividualAssignmentApplication : Started SepmIndividualAssignmentApplication in 3.156 seconds (process running for 3.818)
2023-03-12T10:12:23.512+01:00 r=25fab339d43d ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:23.515+01:00 r=25fab339d43d ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console status=302 time=0ms
2023-03-12T10:12:23.533+01:00 r=40297b908ff6 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/ UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:23.600+01:00 r=40297b908ff6 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/ status=200 time=65ms
